68 32 6138
.0
.1
.2
.3
.4
.5
.6
.7
.8
.9
.10
.11
.12
+0
+1
+2
+3
+4
+5
+6
+7
+8
+9
+10
+11
+12
+13
+14
+15
+16
+17
+18
l1
l2
l3
l4
l5
l6
l7
l8
l9
l10
l11
l12
l13
l14
l15
l16
l17
l18
e0
e1
e2
e3
e4
e5
e6
e7
e8
e9
e10
e11
e12
e13
e14
e15
e16
e17
32 50 0:0 2:1 13:0 14:2
32 56 2:2 6:1 15:2 14:6
32 57 3:1 4:2 14:3 15:4
32 57 3:2 4:1 15:3 14:4
32 58 3:1 7:2 14:3 15:7
32 58 3:2 7:1 15:3 14:7
32 59 3:1 8:2 14:3 15:8
32 59 3:2 8:1 15:3 14:8
32 60 4:1 8:2 14:4 15:8
32 60 4:2 8:1 15:4 14:8
32 61 5:1 6:2 14:5 15:6
32 61 5:2 6:1 15:5 14:6
32 62 7:1 8:2 14:7 15:8
32 62 7:2 8:1 15:7 14:8
32 63 7:1 9:2 14:7 15:9
32 63 7:2 9:1 15:7 14:9
32 64 9:1 10:2 14:9 15:10
32 64 9:2 10:1 15:9 14:10
32 65 10:1 11:2 14:10 15:11
32 65 10:2 11:1 15:10 14:11
32 66 10:1 12:2 14:10 15:12
32 66 10:2 12:1 15:10 14:12
32 67 11:1 12:2 14:11 15:12
32 67 11:2 12:1 15:11 14:12
32 50 0:2 2:3 15:0 16:2
32 50 0:3 2:2 16:0 15:2
32 51 1:2 2:3 15:1 16:2
32 51 1:3 2:2 16:1 15:2
32 52 1:2 3:3 15:1 16:3
32 52 1:3 3:2 16:1 15:3
32 53 1:2 4:3 15:1 16:4
32 53 1:3 4:2 16:1 15:4
32 54 1:2 5:3 15:1 16:5
32 54 1:3 5:2 16:1 15:5
32 55 2:2 5:3 15:2 16:5
32 55 2:3 5:2 16:2 15:5
32 56 2:2 6:3 15:2 16:6
32 56 2:3 6:2 16:2 15:6
32 57 3:2 4:3 15:3 16:4
32 57 3:3 4:2 16:3 15:4
32 58 3:2 7:3 15:3 16:7
32 58 3:3 7:2 16:3 15:7
32 59 3:2 8:3 15:3 16:8
32 59 3:3 8:2 16:3 15:8
32 60 4:2 8:3 15:4 16:8
32 60 4:3 8:2 16:4 15:8
32 61 5:2 6:3 15:5 16:6
32 61 5:3 6:2 16:5 15:6
32 62 7:2 8:3 15:7 16:8
32 62 7:3 8:2 16:7 15:8
32 63 7:2 9:3 15:7 16:9
32 63 7:3 9:2 16:7 15:9
32 64 9:2 10:3 15:9 16:10
32 64 9:3 10:2 16:9 15:10
32 65 10:2 11:3 15:10 16:11
32 65 10:3 11:2 16:10 15:11
32 66 10:2 12:3 15:10 16:12
32 66 10:3 12:2 16:10 15:12
32 67 11:2 12:3 15:11 16:12
32 67 11:3 12:2 16:11 15:12
32 50 0:3 2:4 16:0 17:2
32 50 0:4 2:3 17:0 16:2
32 51 1:3 2:4 16:1 17:2
32 51 1:4 2:3 17:1 16:2
32 52 1:3 3:4 16:1 17:3
32 52 1:4 3:3 17:1 16:3
32 53 1:3 4:4 16:1 17:4
32 53 1:4 4:3 17:1 16:4
32 54 1:3 5:4 16:1 17:5
32 54 1:4 5:3 17:1 16:5
32 55 2:3 5:4 16:2 17:5
32 55 2:4 5:3 17:2 16:5
32 56 2:3 6:4 16:2 17:6
32 56 2:4 6:3 17:2 16:6
32 57 3:3 4:4 16:3 17:4
32 57 3:4 4:3 17:3 16:4
32 58 3:3 7:4 16:3 17:7
32 58 3:4 7:3 17:3 16:7
32 59 3:3 8:4 16:3 17:8
32 59 3:4 8:3 17:3 16:8
32 60 4:3 8:4 16:4 17:8
32 60 4:4 8:3 17:4 16:8
32 61 5:3 6:4 16:5 17:6
32 61 5:4 6:3 17:5 16:6
32 62 7:3 8:4 16:7 17:8
32 62 7:4 8:3 17:7 16:8
32 63 7:3 9:4 16:7 17:9
32 63 7:4 9:3 17:7 16:9
32 64 9:3 10:4 16:9 17:10
32 64 9:4 10:3 17:9 16:10
32 65 10:3 11:4 16:10 17:11
32 65 10:4 11:3 17:10 16:11
32 66 10:3 12:4 16:10 17:12
32 66 10:4 12:3 17:10 16:12
32 67 11:3 12:4 16:11 17:12
32 67 11:4 12:3 17:11 16:12
32 50 0:4 2:5 17:0 18:2
32 50 0:5 2:4 18:0 17:2
32 51 1:4 2:5 17:1 18:2
32 51 1:5 2:4 18:1 17:2
32 52 1:4 3:5 17:1 18:3
32 52 1:5 3:4 18:1 17:3
32 53 1:4 4:5 17:1 18:4
32 53 1:5 4:4 18:1 17:4
32 54 1:4 5:5 17:1 18:5
32 54 1:5 5:4 18:1 17:5
32 55 2:4 5:5 17:2 18:5
32 55 2:5 5:4 18:2 17:5
32 56 2:4 6:5 17:2 18:6
32 56 2:5 6:4 18:2 17:6
32 57 3:4 4:5 17:3 18:4
32 57 3:5 4:4 18:3 17:4
32 58 3:4 7:5 17:3 18:7
32 58 3:5 7:4 18:3 17:7
32 59 3:4 8:5 17:3 18:8
32 59 3:5 8:4 18:3 17:8
32 60 4:4 8:5 17:4 18:8
32 60 4:5 8:4 18:4 17:8
32 61 5:4 6:5 17:5 18:6
32 61 5:5 6:4 18:5 17:6
32 62 7:4 8:5 17:7 18:8
32 62 7:5 8:4 18:7 17:8
32 63 7:4 9:5 17:7 18:9
32 63 7:5 9:4 18:7 17:9
32 64 9:4 10:5 17:9 18:10
32 64 9:5 10:4 18:9 17:10
32 65 10:4 11:5 17:10 18:11
32 65 10:5 11:4 18:10 17:11
32 66 10:4 12:5 17:10 18:12
32 66 10:5 12:4 18:10 17:12
32 67 11:4 12:5 17:11 18:12
32 67 11:5 12:4 18:11 17:12
32 50 0:5 2:6 18:0 19:2
32 50 0:6 2:5 19:0 18:2
32 51 1:5 2:6 18:1 19:2
32 51 1:6 2:5 19:1 18:2
32 52 1:5 3:6 18:1 19:3
32 52 1:6 3:5 19:1 18:3
32 53 1:5 4:6 18:1 19:4
32 53 1:6 4:5 19:1 18:4
32 54 1:5 5:6 18:1 19:5
32 54 1:6 5:5 19:1 18:5
32 55 2:5 5:6 18:2 19:5
32 55 2:6 5:5 19:2 18:5
32 56 2:5 6:6 18:2 19:6
32 56 2:6 6:5 19:2 18:6
32 57 3:5 4:6 18:3 19:4
32 57 3:6 4:5 19:3 18:4
32 58 3:5 7:6 18:3 19:7
32 58 3:6 7:5 19:3 18:7
32 59 3:5 8:6 18:3 19:8
32 59 3:6 8:5 19:3 18:8
32 60 4:5 8:6 18:4 19:8
32 60 4:6 8:5 19:4 18:8
32 61 5:5 6:6 18:5 19:6
32 61 5:6 6:5 19:5 18:6
32 62 7:5 8:6 18:7 19:8
32 62 7:6 8:5 19:7 18:8
32 63 7:5 9:6 18:7 19:9
32 63 7:6 9:5 19:7 18:9
32 64 9:5 10:6 18:9 19:10
32 64 9:6 10:5 19:9 18:10
32 65 10:5 11:6 18:10 19:11
32 65 10:6 11:5 19:10 18:11
32 66 10:5 12:6 18:10 19:12
32 66 10:6 12:5 19:10 18:12
32 67 11:5 12:6 18:11 19:12
32 67 11:6 12:5 19:11 18:12
32 50 0:6 2:7 19:0 20:2
32 50 0:7 2:6 20:0 19:2
32 51 1:6 2:7 19:1 20:2
32 51 1:7 2:6 20:1 19:2
32 52 1:6 3:7 19:1 20:3
32 52 1:7 3:6 20:1 19:3
32 53 1:6 4:7 19:1 20:4
32 53 1:7 4:6 20:1 19:4
32 54 1:6 5:7 19:1 20:5
32 54 1:7 5:6 20:1 19:5
32 55 2:6 5:7 19:2 20:5
32 55 2:7 5:6 20:2 19:5
32 56 2:6 6:7 19:2 20:6
32 56 2:7 6:6 20:2 19:6
32 57 3:6 4:7 19:3 20:4
32 57 3:7 4:6 20:3 19:4
32 58 3:6 7:7 19:3 20:7
32 58 3:7 7:6 20:3 19:7
32 59 3:6 8:7 19:3 20:8
32 59 3:7 8:6 20:3 19:8
32 60 4:6 8:7 19:4 20:8
32 60 4:7 8:6 20:4 19:8
32 61 5:6 6:7 19:5 20:6
32 61 5:7 6:6 20:5 19:6
32 62 7:6 8:7 19:7 20:8
32 62 7:7 8:6 20:7 19:8
32 63 7:6 9:7 19:7 20:9
32 63 7:7 9:6 20:7 19:9
32 64 9:6 10:7 19:9 20:10
32 64 9:7 10:6 20:9 19:10
32 65 10:6 11:7 19:10 20:11
32 65 10:7 11:6 20:10 19:11
32 66 10:6 12:7 19:10 20:12
32 66 10:7 12:6 20:10 19:12
32 67 11:6 12:7 19:11 20:12
32 67 11:7 12:6 20:11 19:12
32 50 0:7 2:8 20:0 21:2
32 50 0:8 2:7 21:0 20:2
32 51 1:7 2:8 20:1 21:2
32 51 1:8 2:7 21:1 20:2
32 52 1:7 3:8 20:1 21:3
32 52 1:8 3:7 21:1 20:3
32 53 1:7 4:8 20:1 21:4
32 53 1:8 4:7 21:1 20:4
32 54 1:7 5:8 20:1 21:5
32 54 1:8 5:7 21:1 20:5
32 55 2:7 5:8 20:2 21:5
32 55 2:8 5:7 21:2 20:5
32 56 2:7 6:8 20:2 21:6
32 56 2:8 6:7 21:2 20:6
32 57 3:7 4:8 20:3 21:4
32 57 3:8 4:7 21:3 20:4
32 58 3:7 7:8 20:3 21:7
32 58 3:8 7:7 21:3 20:7
32 59 3:7 8:8 20:3 21:8
32 59 3:8 8:7 21:3 20:8
32 60 4:7 8:8 20:4 21:8
32 60 4:8 8:7 21:4 20:8
32 61 5:7 6:8 20:5 21:6
32 61 5:8 6:7 21:5 20:6
32 62 7:7 8:8 20:7 21:8
32 62 7:8 8:7 21:7 20:8
32 63 7:7 9:8 20:7 21:9
32 63 7:8 9:7 21:7 20:9
32 64 9:7 10:8 20:9 21:10
32 64 9:8 10:7 21:9 20:10
32 65 10:7 11:8 20:10 21:11
32 65 10:8 11:7 21:10 20:11
32 66 10:7 12:8 20:10 21:12
32 66 10:8 12:7 21:10 20:12
32 67 11:7 12:8 20:11 21:12
32 67 11:8 12:7 21:11 20:12
32 50 0:8 2:9 21:0 22:2
32 50 0:9 2:8 22:0 21:2
32 51 1:8 2:9 21:1 22:2
32 51 1:9 2:8 22:1 21:2
32 52 1:8 3:9 21:1 22:3
32 52 1:9 3:8 22:1 21:3
32 53 1:8 4:9 21:1 22:4
32 53 1:9 4:8 22:1 21:4
32 54 1:8 5:9 21:1 22:5
32 54 1:9 5:8 22:1 21:5
32 55 2:8 5:9 21:2 22:5
32 55 2:9 5:8 22:2 21:5
32 56 2:8 6:9 21:2 22:6
32 56 2:9 6:8 22:2 21:6
32 57 3:8 4:9 21:3 22:4
32 57 3:9 4:8 22:3 21:4
32 58 3:8 7:9 21:3 22:7
32 58 3:9 7:8 22:3 21:7
32 59 3:8 8:9 21:3 22:8
32 59 3:9 8:8 22:3 21:8
32 60 4:8 8:9 21:4 22:8
32 60 4:9 8:8 22:4 21:8
32 61 5:8 6:9 21:5 22:6
32 61 5:9 6:8 22:5 21:6
32 62 7:8 8:9 21:7 22:8
32 62 7:9 8:8 22:7 21:8
32 63 7:8 9:9 21:7 22:9
32 63 7:9 9:8 22:7 21:9
32 64 9:8 10:9 21:9 22:10
32 64 9:9 10:8 22:9 21:10
32 65 10:8 11:9 21:10 22:11
32 65 10:9 11:8 22:10 21:11
32 66 10:8 12:9 21:10 22:12
32 66 10:9 12:8 22:10 21:12
32 67 11:8 12:9 21:11 22:12
32 67 11:9 12:8 22:11 21:12
32 50 0:9 2:10 22:0 23:2
32 50 0:10 2:9 23:0 22:2
32 51 1:9 2:10 22:1 23:2
32 51 1:10 2:9 23:1 22:2
32 52 1:9 3:10 22:1 23:3
32 52 1:10 3:9 23:1 22:3
32 53 1:9 4:10 22:1 23:4
32 53 1:10 4:9 23:1 22:4
32 54 1:9 5:10 22:1 23:5
32 54 1:10 5:9 23:1 22:5
32 55 2:9 5:10 22:2 23:5
32 55 2:10 5:9 23:2 22:5
32 56 2:9 6:10 22:2 23:6
32 56 2:10 6:9 23:2 22:6
32 57 3:9 4:10 22:3 23:4
32 57 3:10 4:9 23:3 22:4
32 58 3:9 7:10 22:3 23:7
32 58 3:10 7:9 23:3 22:7
32 59 3:9 8:10 22:3 23:8
32 59 3:10 8:9 23:3 22:8
32 60 4:9 8:10 22:4 23:8
32 60 4:10 8:9 23:4 22:8
32 61 5:9 6:10 22:5 23:6
32 61 5:10 6:9 23:5 22:6
32 62 7:9 8:10 22:7 23:8
32 62 7:10 8:9 23:7 22:8
32 63 7:9 9:10 22:7 23:9
32 63 7:10 9:9 23:7 22:9
32 64 9:9 10:10 22:9 23:10
32 64 9:10 10:9 23:9 22:10
32 65 10:9 11:10 22:10 23:11
32 65 10:10 11:9 23:10 22:11
32 66 10:9 12:10 22:10 23:12
32 66 10:10 12:9 23:10 22:12
32 67 11:9 12:10 22:11 23:12
32 67 11:10 12:9 23:11 22:12
32 50 0:10 2:11 23:0 24:2
32 50 0:11 2:10 24:0 23:2
32 51 1:10 2:11 23:1 24:2
32 51 1:11 2:10 24:1 23:2
32 52 1:10 3:11 23:1 24:3
32 52 1:11 3:10 24:1 23:3
32 53 1:10 4:11 23:1 24:4
32 53 1:11 4:10 24:1 23:4
32 54 1:10 5:11 23:1 24:5
32 54 1:11 5:10 24:1 23:5
32 55 2:10 5:11 23:2 24:5
32 55 2:11 5:10 24:2 23:5
32 56 2:10 6:11 23:2 24:6
32 56 2:11 6:10 24:2 23:6
32 57 3:10 4:11 23:3 24:4
32 57 3:11 4:10 24:3 23:4
32 58 3:10 7:11 23:3 24:7
32 58 3:11 7:10 24:3 23:7
32 59 3:10 8:11 23:3 24:8
32 59 3:11 8:10 24:3 23:8
32 60 4:10 8:11 23:4 24:8
32 60 4:11 8:10 24:4 23:8
32 61 5:10 6:11 23:5 24:6
32 61 5:11 6:10 24:5 23:6
32 62 7:10 8:11 23:7 24:8
32 62 7:11 8:10 24:7 23:8
32 63 7:10 9:11 23:7 24:9
32 63 7:11 9:10 24:7 23:9
32 64 9:10 10:11 23:9 24:10
32 64 9:11 10:10 24:9 23:10
32 65 10:10 11:11 23:10 24:11
32 65 10:11 11:10 24:10 23:11
32 66 10:10 12:11 23:10 24:12
32 66 10:11 12:10 24:10 23:12
32 67 11:10 12:11 23:11 24:12
32 67 11:11 12:10 24:11 23:12
32 50 0:11 2:12 24:0 25:2
32 50 0:12 2:11 25:0 24:2
32 51 1:11 2:12 24:1 25:2
32 51 1:12 2:11 25:1 24:2
32 52 1:11 3:12 24:1 25:3
32 52 1:12 3:11 25:1 24:3
32 53 1:11 4:12 24:1 25:4
32 53 1:12 4:11 25:1 24:4
32 54 1:11 5:12 24:1 25:5
32 54 1:12 5:11 25:1 24:5
32 55 2:11 5:12 24:2 25:5
32 55 2:12 5:11 25:2 24:5
32 56 2:11 6:12 24:2 25:6
32 56 2:12 6:11 25:2 24:6
32 57 3:11 4:12 24:3 25:4
32 57 3:12 4:11 25:3 24:4
32 58 3:11 7:12 24:3 25:7
32 58 3:12 7:11 25:3 24:7
32 59 3:11 8:12 24:3 25:8
32 59 3:12 8:11 25:3 24:8
32 60 4:11 8:12 24:4 25:8
32 60 4:12 8:11 25:4 24:8
32 61 5:11 6:12 24:5 25:6
32 61 5:12 6:11 25:5 24:6
32 62 7:11 8:12 24:7 25:8
32 62 7:12 8:11 25:7 24:8
32 63 7:11 9:12 24:7 25:9
32 63 7:12 9:11 25:7 24:9
32 64 9:11 10:12 24:9 25:10
32 64 9:12 10:11 25:9 24:10
32 65 10:11 11:12 24:10 25:11
32 65 10:12 11:11 25:10 24:11
32 66 10:11 12:12 24:10 25:12
32 66 10:12 12:11 25:10 24:12
32 67 11:11 12:12 24:11 25:12
32 67 11:12 12:11 25:11 24:12
32 50 0:12 2:13 25:0 26:2
32 50 0:13 2:12 26:0 25:2
32 51 1:12 2:13 25:1 26:2
32 51 1:13 2:12 26:1 25:2
32 52 1:12 3:13 25:1 26:3
32 52 1:13 3:12 26:1 25:3
32 53 1:12 4:13 25:1 26:4
32 53 1:13 4:12 26:1 25:4
32 54 1:12 5:13 25:1 26:5
32 54 1:13 5:12 26:1 25:5
32 55 2:12 5:13 25:2 26:5
32 55 2:13 5:12 26:2 25:5
32 56 2:12 6:13 25:2 26:6
32 56 2:13 6:12 26:2 25:6
32 57 3:12 4:13 25:3 26:4
32 57 3:13 4:12 26:3 25:4
32 58 3:12 7:13 25:3 26:7
32 58 3:13 7:12 26:3 25:7
32 59 3:12 8:13 25:3 26:8
32 59 3:13 8:12 26:3 25:8
32 60 4:12 8:13 25:4 26:8
32 60 4:13 8:12 26:4 25:8
32 61 5:12 6:13 25:5 26:6
32 61 5:13 6:12 26:5 25:6
32 62 7:12 8:13 25:7 26:8
32 62 7:13 8:12 26:7 25:8
32 63 7:12 9:13 25:7 26:9
32 63 7:13 9:12 26:7 25:9
32 64 9:12 10:13 25:9 26:10
32 64 9:13 10:12 26:9 25:10
32 65 10:12 11:13 25:10 26:11
32 65 10:13 11:12 26:10 25:11
32 66 10:12 12:13 25:10 26:12
32 66 10:13 12:12 26:10 25:12
32 67 11:12 12:13 25:11 26:12
32 67 11:13 12:12 26:11 25:12
32 50 0:13 2:14 26:0 27:2
32 50 0:14 2:13 27:0 26:2
32 51 1:13 2:14 26:1 27:2
32 51 1:14 2:13 27:1 26:2
32 52 1:13 3:14 26:1 27:3
32 52 1:14 3:13 27:1 26:3
32 53 1:13 4:14 26:1 27:4
32 53 1:14 4:13 27:1 26:4
32 54 1:13 5:14 26:1 27:5
32 54 1:14 5:13 27:1 26:5
32 55 2:13 5:14 26:2 27:5
32 55 2:14 5:13 27:2 26:5
32 56 2:13 6:14 26:2 27:6
32 56 2:14 6:13 27:2 26:6
32 57 3:13 4:14 26:3 27:4
32 57 3:14 4:13 27:3 26:4
32 58 3:13 7:14 26:3 27:7
32 58 3:14 7:13 27:3 26:7
32 59 3:13 8:14 26:3 27:8
32 59 3:14 8:13 27:3 26:8
32 60 4:13 8:14 26:4 27:8
32 60 4:14 8:13 27:4 26:8
32 61 5:13 6:14 26:5 27:6
32 61 5:14 6:13 27:5 26:6
32 62 7:13 8:14 26:7 27:8
32 62 7:14 8:13 27:7 26:8
32 63 7:13 9:14 26:7 27:9
32 63 7:14 9:13 27:7 26:9
32 64 9:13 10:14 26:9 27:10
32 64 9:14 10:13 27:9 26:10
32 65 10:13 11:14 26:10 27:11
32 65 10:14 11:13 27:10 26:11
32 66 10:13 12:14 26:10 27:12
32 66 10:14 12:13 27:10 26:12
32 67 11:13 12:14 26:11 27:12
32 67 11:14 12:13 27:11 26:12
32 50 0:14 2:15 27:0 28:2
32 50 0:15 2:14 28:0 27:2
32 51 1:14 2:15 27:1 28:2
32 51 1:15 2:14 28:1 27:2
32 52 1:14 3:15 27:1 28:3
32 52 1:15 3:14 28:1 27:3
32 53 1:14 4:15 27:1 28:4
32 53 1:15 4:14 28:1 27:4
32 54 1:14 5:15 27:1 28:5
32 54 1:15 5:14 28:1 27:5
32 55 2:14 5:15 27:2 28:5
32 55 2:15 5:14 28:2 27:5
32 56 2:14 6:15 27:2 28:6
32 56 2:15 6:14 28:2 27:6
32 57 3:14 4:15 27:3 28:4
32 57 3:15 4:14 28:3 27:4
32 58 3:14 7:15 27:3 28:7
32 58 3:15 7:14 28:3 27:7
32 59 3:14 8:15 27:3 28:8
32 59 3:15 8:14 28:3 27:8
32 60 4:14 8:15 27:4 28:8
32 60 4:15 8:14 28:4 27:8
32 61 5:14 6:15 27:5 28:6
32 61 5:15 6:14 28:5 27:6
32 62 7:14 8:15 27:7 28:8
32 62 7:15 8:14 28:7 27:8
32 63 7:14 9:15 27:7 28:9
32 63 7:15 9:14 28:7 27:9
32 64 9:14 10:15 27:9 28:10
32 64 9:15 10:14 28:9 27:10
32 65 10:14 11:15 27:10 28:11
32 65 10:15 11:14 28:10 27:11
32 66 10:14 12:15 27:10 28:12
32 66 10:15 12:14 28:10 27:12
32 67 11:14 12:15 27:11 28:12
32 67 11:15 12:14 28:11 27:12
32 50 0:15 2:16 28:0 29:2
32 50 0:16 2:15 29:0 28:2
32 51 1:15 2:16 28:1 29:2
32 51 1:16 2:15 29:1 28:2
32 52 1:15 3:16 28:1 29:3
32 52 1:16 3:15 29:1 28:3
32 53 1:15 4:16 28:1 29:4
32 53 1:16 4:15 29:1 28:4
32 54 1:15 5:16 28:1 29:5
32 54 1:16 5:15 29:1 28:5
32 55 2:15 5:16 28:2 29:5
32 55 2:16 5:15 29:2 28:5
32 56 2:15 6:16 28:2 29:6
32 56 2:16 6:15 29:2 28:6
32 57 3:15 4:16 28:3 29:4
32 57 3:16 4:15 29:3 28:4
32 58 3:15 7:16 28:3 29:7
32 58 3:16 7:15 29:3 28:7
32 59 3:15 8:16 28:3 29:8
32 59 3:16 8:15 29:3 28:8
32 60 4:15 8:16 28:4 29:8
32 60 4:16 8:15 29:4 28:8
32 61 5:15 6:16 28:5 29:6
32 61 5:16 6:15 29:5 28:6
32 62 7:15 8:16 28:7 29:8
32 62 7:16 8:15 29:7 28:8
32 63 7:15 9:16 28:7 29:9
32 63 7:16 9:15 29:7 28:9
32 64 9:15 10:16 28:9 29:10
32 64 9:16 10:15 29:9 28:10
32 65 10:15 11:16 28:10 29:11
32 65 10:16 11:15 29:10 28:11
32 66 10:15 12:16 28:10 29:12
32 66 10:16 12:15 29:10 28:12
32 67 11:15 12:16 28:11 29:12
32 67 11:16 12:15 29:11 28:12
32 50 0:16 2:17 29:0 30:2
32 50 0:17 2:16 30:0 29:2
32 51 1:16 2:17 29:1 30:2
32 51 1:17 2:16 30:1 29:2
32 52 1:16 3:17 29:1 30:3
32 52 1:17 3:16 30:1 29:3
32 53 1:16 4:17 29:1 30:4
32 53 1:17 4:16 30:1 29:4
32 54 1:16 5:17 29:1 30:5
32 54 1:17 5:16 30:1 29:5
32 55 2:16 5:17 29:2 30:5
32 55 2:17 5:16 30:2 29:5
32 56 2:16 6:17 29:2 30:6
32 56 2:17 6:16 30:2 29:6
32 57 3:16 4:17 29:3 30:4
32 57 3:17 4:16 30:3 29:4
32 58 3:16 7:17 29:3 30:7
32 58 3:17 7:16 30:3 29:7
32 59 3:16 8:17 29:3 30:8
32 59 3:17 8:16 30:3 29:8
32 60 4:16 8:17 29:4 30:8
32 60 4:17 8:16 30:4 29:8
32 61 5:16 6:17 29:5 30:6
32 61 5:17 6:16 30:5 29:6
32 62 7:16 8:17 29:7 30:8
32 62 7:17 8:16 30:7 29:8
32 63 7:16 9:17 29:7 30:9
32 63 7:17 9:16 30:7 29:9
32 64 9:16 10:17 29:9 30:10
32 64 9:17 10:16 30:9 29:10
32 65 10:16 11:17 29:10 30:11
32 65 10:17 11:16 30:10 29:11
32 66 10:16 12:17 29:10 30:12
32 66 10:17 12:16 30:10 29:12
32 67 11:16 12:17 29:11 30:12
32 67 11:17 12:16 30:11 29:12
32 50 0:17 2:18 30:0 31:2
32 50 0:18 2:17 31:0 30:2
32 51 1:17 2:18 30:1 31:2
32 51 1:18 2:17 31:1 30:2
32 52 1:17 3:18 30:1 31:3
32 52 1:18 3:17 31:1 30:3
32 53 1:17 4:18 30:1 31:4
32 53 1:18 4:17 31:1 30:4
32 54 1:17 5:18 30:1 31:5
32 54 1:18 5:17 31:1 30:5
32 55 2:17 5:18 30:2 31:5
32 55 2:18 5:17 31:2 30:5
32 56 2:17 6:18 30:2 31:6
32 56 2:18 6:17 31:2 30:6
32 57 3:17 4:18 30:3 31:4
32 57 3:18 4:17 31:3 30:4
32 58 3:17 7:18 30:3 31:7
32 58 3:18 7:17 31:3 30:7
32 59 3:17 8:18 30:3 31:8
32 59 3:18 8:17 31:3 30:8
32 60 4:17 8:18 30:4 31:8
32 60 4:18 8:17 31:4 30:8
32 61 5:17 6:18 30:5 31:6
32 61 5:18 6:17 31:5 30:6
32 62 7:17 8:18 30:7 31:8
32 62 7:18 8:17 31:7 30:8
32 63 7:17 9:18 30:7 31:9
32 63 7:18 9:17 31:7 30:9
32 64 9:17 10:18 30:9 31:10
32 64 9:18 10:17 31:9 30:10
32 65 10:17 11:18 30:10 31:11
32 65 10:18 11:17 31:10 30:11
32 66 10:17 12:18 30:10 31:12
32 66 10:18 12:17 31:10 30:12
32 67 11:17 12:18 30:11 31:12
32 67 11:18 12:17 31:11 30:12
33 50 0:0 2:2 13:0 15:2
33 50 0:2 2:0 15:0 13:2
33 51 1:0 2:2 13:1 15:2
33 51 1:2 2:0 15:1 13:2
33 52 1:0 3:2 13:1 15:3
33 52 1:2 3:0 15:1 13:3
33 53 1:0 4:2 13:1 15:4
33 53 1:2 4:0 15:1 13:4
33 54 1:0 5:2 13:1 15:5
33 54 1:2 5:0 15:1 13:5
33 55 2:0 5:2 13:2 15:5
33 55 2:2 5:0 15:2 13:5
33 56 2:0 6:2 13:2 15:6
33 56 2:2 6:0 15:2 13:6
33 57 3:0 4:2 13:3 15:4
33 57 3:2 4:0 15:3 13:4
33 58 3:0 7:2 13:3 15:7
33 58 3:2 7:0 15:3 13:7
33 59 3:0 8:2 13:3 15:8
33 59 3:2 8:0 15:3 13:8
33 60 4:0 8:2 13:4 15:8
33 60 4:2 8:0 15:4 13:8
33 61 5:0 6:2 13:5 15:6
33 61 5:2 6:0 15:5 13:6
33 62 7:0 8:2 13:7 15:8
33 62 7:2 8:0 15:7 13:8
33 63 7:0 9:2 13:7 15:9
33 63 7:2 9:0 15:7 13:9
33 64 9:0 10:2 13:9 15:10
